Domain,Core Conditionsÿ
Opthalmolgy,Visual field defect 
Opthalmolgy,Diabetic retinopathy 
Opthalmolgy,Thyroid eye disease 
Opthalmolgy,Benign eyelid disorders 
Opthalmolgy,Blepharitis
Opthalmolgy,Orbital and periorbital cellulitis
Opthalmolgy,"Ocular motor nerve palsies (3,4,6) "
Obstetrics ,Ectopic pregnancyÿ
Obstetrics ,Hyperemesis gravidarumÿ
Obstetrics ,Anaemiaÿ
Obstetrics ,Pre-existing and gestational diabetes
Obstetrics ,Essential and secondary hypertensionÿ
Obstetrics ,Pregnancy-induced hypertensionÿ
Obstetrics ,Urinary tract Infectionÿ
Obstetrics ,Depressionÿ
Obstetrics ,Obesity
Obstetrics ,Pre-existing diabetes in pregnancy 
Obstetrics ,Varicella zosterÿ
Obstetrics ,Syphilisÿ
Obstetrics ,TORCHÿ
Obstetrics ,Labourÿ
Obstetrics ,Cord prolapseÿ
Obstetrics ,Shoulder dystocia 
Obstetrics ,Pulmonary Embolism and Deep Vein Thrombosis 
Obstetrics ,Pre-eclampsiaÿ
Obstetrics ,Placenta praevia
Obstetrics ,Vasa praeviaÿ
Obstetrics ,Placental abruptionÿ
Obstetrics ,Post-partum haemorrhageÿ
Obstetrics ,Puerperal infection and sepsisÿ
Obstetrics ,Post-natal mental healthÿ
Obstetrics ,Stillbirth
Gynaecology,Endometriosis
Gynaecology,Adenomyosisÿ
Gynaecology,Dysfunctional uterine bleedingÿ
Gynaecology,Fibroids
Gynaecology,Anovulatory cyclesÿ
Gynaecology,Bacterial vaginosis
Gynaecology,Trichomonas vaginalisÿ
Gynaecology,Chlamydia
Gynaecology,Gonorrhoeaÿ
Gynaecology,Syphilisÿ
Gynaecology,Pelvic inflammatory diseaseÿ
Gynaecology,Toxic shock syndrome 
Gynaecology,Contraception
Gynaecology,Unwanted pregnancy and terminationÿ
Gynaecology,Fertility and subfertilityÿ
Gynaecology,Cervical screening (HPV) 
Gynaecology,Cervical cancerÿ
Gynaecology,Endometrial cancerÿ
Gynaecology,Ovarian cancer
Gynaecology,Vulval and vaginal cancerÿ
Gynaecology,Menopauseÿ
Gynaecology,Atrophic vaginitisÿ
Gynaecology,Vaginal prolapse
Gynaecology,Urinary incontinenceÿ
Gynaecology,Urinary tract infection
Paediatrics,Cardiac arrestÿ
Paediatrics,Respiratory arrest
Paediatrics,Congenital heart diseaseÿ
Paediatrics,Asthma 
Paediatrics,Bronchiectasisÿ
Paediatrics,Upper respiratory tract infection - Croupÿ
Paediatrics,Upper respiratory tract infection - Epiglottitis
Paediatrics,ÿUpper respiratory tract infection - Tonsillitis 
Paediatrics, Lower respiratory tract infection - Bronchiolitis 
Paediatrics, Lower respiratory tract infection - Pulmonary tuberculosisÿ
Paediatrics,Pneumothoraxÿ
Paediatrics,Obstructive sleep apnoeaÿ
Paediatrics,Gastro-oesophageal reflux disorderÿ
Paediatrics,Peptic ulcer disease and gastritisÿ
Paediatrics,Biliary atresiaÿ
Paediatrics,Acute hepatitisÿ
Paediatrics,Constipationÿ
Paediatrics,Hirschsprung's diseaseÿ
Paediatrics,Viral gastroenteritisÿ
Paediatrics,Functional abdominal pain 
Paediatrics,Coeliac disease
Paediatrics,Inflammatory bowel disease
Paediatrics,Necrotising enterocolitis
Paediatrics,Nutrition and hydration - Dehydrationÿ
Paediatrics,Nutrition and hydration - Malnutritionÿ
Paediatrics,Nutrition and hydration - Obesity
Paediatrics,Appendicitis
Paediatrics,Mesenteric adenitisÿ
Paediatrics,Intussusceptionÿ
Paediatrics,Intestinal obstruction and ileusÿ
Paediatrics,Volvulusÿ
Paediatrics,Peritonitisÿ
Paediatrics,Pyloric stenosisÿ
Paediatrics,Acute kidney injuryÿ
Paediatrics,Chronic kidney disease
Paediatrics,Nephrotic syndrome 
Paediatrics,Testicular torsion 
Paediatrics,GU infection - Urinary tract infection
Paediatrics,GU infection - Epididymitis and orchitisÿ
Paediatrics,Type 1 diabetes 
Paediatrics,Type 2 diabetes 
Paediatrics,Diabetic ketoacidosis 
Paediatrics,Hypoglycaemiaÿ
Paediatrics,Hypothyroidismÿ
Paediatrics,Thyrotoxicosisÿ
Paediatrics,Cushing's syndromeÿ
Paediatrics,Developmental delayÿ
Paediatrics,Cerebral palsy and hypoxic-ischaemic encephalopathyÿ
Paediatrics,Downs syndrome
Paediatrics,Febrile convulsionÿ
Paediatrics,Meningitisÿ
Paediatrics,Migraineÿ
Paediatrics,Tension headaches
Paediatrics,Subarachnoid haemorrhage
Paediatrics,Subdural haematomaÿ
Paediatrics,Peripheral nerve injuries/palsiesÿ
Paediatrics,Visual field defects
Paediatrics,Idiopathic arthritisÿ
Paediatrics,Reactive arthritisÿ
Paediatrics,Septic arthritisÿ
Paediatrics,Inherited muscular dystrophiesÿ
Paediatrics,Congenital dislocation of the hip 
Paediatrics,Slipped upper femoral epiphysisÿ
Paediatrics,Perthes' disease
Paediatrics,Rickets/Osteomalacia
Paediatrics,Talipes 
Paediatrics,Anaemiaÿ
Paediatrics,Sickle cell disease
Paediatrics,Leukaemia
Paediatrics,Lymphomaÿ
Paediatrics,Pancytopaenia
Paediatrics,Disseminated intravascular coagulationÿ
Paediatrics,Hyposplenism and splenectomyÿ
Paediatrics,Atopic dermatitis
Paediatrics,Urticariaÿ
Paediatrics,Henoch-Schoenlein purpura 
Paediatrics,Sepsis
Paediatrics,Rubellaÿ
Paediatrics,Varicella zoster 
Paediatrics,Measlesÿ
Paediatrics,Mumpsÿ
Paediatrics,Viral exanthema
Paediatrics,Cellulitis
Paediatrics,Tonsillitis and pharyngitis
Paediatrics,Impetigo
Paediatrics,Candidiasis
Paediatrics,Herpes simplex virus
